编号,CAC分类,CTAI分类,结节大小分类,随访对比
1,"[0, 3)","[0%, 65%]","[0, 5]",首次
2,"[0, 3)","[0%, 65%]","[0, 5]",增大
3,"[0, 3)","[0%, 65%]","[0, 5]",变小
4,"[0, 3)","[0%, 65%]","[5, 8]",首次
5,"[0, 3)","[0%, 65%]","[5, 8]",增大
6,"[0, 3)","[0%, 65%]","[5, 8]",变小
7,"[0, 3)","[0%, 65%]","[9, 30]",首次
8,"[0, 3)","[0%, 65%]","[9, 30]",增大
9,"[0, 3)","[0%, 65%]","[9, 30]",变小
10,"[0, 3)","[65%, 85%]","[0, 5]",首次
11,"[0, 3)","[65%, 85%]","[0, 5]",增大
12,"[0, 3)","[65%, 85%]","[0, 5]",变小
13,"[0, 3)","[65%, 85%]","[5, 8]",首次
14,"[0, 3)","[65%, 85%]","[5, 8]",增大
15,"[0, 3)","[65%, 85%]","[5, 8]",变小
16,"[0, 3)","[65%, 85%]","[9, 30]",首次
17,"[0, 3)","[65%, 85%]","[9, 30]",增大
18,"[0, 3)","[65%, 85%]","[9, 30]",变小
19,"[0, 3)","[85%, 99%]","[0, 5]",首次
20,"[0, 3)","[85%, 99%]","[0, 5]",增大
21,"[0, 3)","[85%, 99%]","[0, 5]",变小
22,"[0, 3)","[85%, 99%]","[5, 8]",首次
23,"[0, 3)","[85%, 99%]","[5, 8]",增大
24,"[0, 3)","[85%, 99%]","[5, 8]",变小
25,"[0, 3)","[85%, 99%]","[9, 30]",首次
26,"[0, 3)","[85%, 99%]","[9, 30]",增大
27,"[0, 3)","[85%, 99%]","[9, 30]",变小
28,"[3, 8]","[0%, 65%]","[0, 5]",首次
29,"[3, 8]","[0%, 65%]","[0, 5]",增大
30,"[3, 8]","[0%, 65%]","[0, 5]",变小
31,"[3, 8]","[0%, 65%]","[5, 8]",首次
32,"[3, 8]","[0%, 65%]","[5, 8]",增大
33,"[3, 8]","[0%, 65%]","[5, 8]",变小
34,"[3, 8]","[0%, 65%]","[9, 30]",首次
35,"[3, 8]","[0%, 65%]","[9, 30]",增大
36,"[3, 8]","[0%, 65%]","[9, 30]",变小
37,"[3, 8]","[65%, 85%]","[0, 5]",首次
38,"[3, 8]","[65%, 85%]","[0, 5]",增大
39,"[3, 8]","[65%, 85%]","[0, 5]",变小
40,"[3, 8]","[65%, 85%]","[5, 8]",首次
41,"[3, 8]","[65%, 85%]","[5, 8]",增大
42,"[3, 8]","[65%, 85%]","[5, 8]",变小
43,"[3, 8]","[65%, 85%]","[9, 30]",首次
44,"[3, 8]","[65%, 85%]","[9, 30]",增大
45,"[3, 8]","[65%, 85%]","[9, 30]",变小
46,"[3, 8]","[85%, 99%]","[0, 5]",首次
47,"[3, 8]","[85%, 99%]","[0, 5]",增大
48,"[3, 8]","[85%, 99%]","[0, 5]",变小
49,"[3, 8]","[85%, 99%]","[5, 8]",首次
50,"[3, 8]","[85%, 99%]","[5, 8]",增大
51,"[3, 8]","[85%, 99%]","[5, 8]",变小
52,"[3, 8]","[85%, 99%]","[9, 30]",首次
53,"[3, 8]","[85%, 99%]","[9, 30]",增大
54,"[3, 8]","[85%, 99%]","[9, 30]",变小
55,"[9, 20]","[0%, 65%]","[0, 5]",首次
56,"[9, 20]","[0%, 65%]","[0, 5]",增大
57,"[9, 20]","[0%, 65%]","[0, 5]",变小
58,"[9, 20]","[0%, 65%]","[5, 8]",首次
59,"[9, 20]","[0%, 65%]","[5, 8]",增大
60,"[9, 20]","[0%, 65%]","[5, 8]",变小
61,"[9, 20]","[0%, 65%]","[9, 30]",首次
62,"[9, 20]","[0%, 65%]","[9, 30]",增大
63,"[9, 20]","[0%, 65%]","[9, 30]",变小
64,"[9, 20]","[65%, 85%]","[0, 5]",首次
65,"[9, 20]","[65%, 85%]","[0, 5]",增大
66,"[9, 20]","[65%, 85%]","[0, 5]",变小
67,"[9, 20]","[65%, 85%]","[5, 8]",首次
68,"[9, 20]","[65%, 85%]","[5, 8]",增大
69,"[9, 20]","[65%, 85%]","[5, 8]",变小
70,"[9, 20]","[65%, 85%]","[9, 30]",首次
71,"[9, 20]","[65%, 85%]","[9, 30]",增大
72,"[9, 20]","[65%, 85%]","[9, 30]",变小
73,"[9, 20]","[85%, 99%]","[0, 5]",首次
74,"[9, 20]","[85%, 99%]","[0, 5]",增大
75,"[9, 20]","[85%, 99%]","[0, 5]",变小
76,"[9, 20]","[85%, 99%]","[5, 8]",首次
77,"[9, 20]","[85%, 99%]","[5, 8]",增大
78,"[9, 20]","[85%, 99%]","[5, 8]",变小
79,"[9, 20]","[85%, 99%]","[9, 30]",首次
80,"[9, 20]","[85%, 99%]","[9, 30]",增大
81,"[9, 20]","[85%, 99%]","[9, 30]",变小
